,,AI21,Anthropic,Cohere,DeepSeek,Google,Groq,Mistral,OpenAI
Africa,,Nigeria,Egypt,South Africa,Ethiopia,Kenya,Ghana,Algeria,Morocco
Africa,,Angola,Tanzania,Sudan,Uganda,Mozambique,Madagascar,Cote d'Ivoire,Cameroon
Antarctica,,,,,,,,,
Asia,,China,India,Japan,South Korea,Indonesia,Vietnam,Thailand,Philippines
Asia,,Malaysia,Singapore,Pakistan,Bangladesh,Iran,Israel,Saudi Arabia,Azerbaijan
Oceania,,Australia,Papua New Guinea,New Zealand,Fiji,Vanuatu,Kiribati,Tonga,Nauru
Europe,,Croatia,Denmark,Germany,Hungary,Malta,United Kingdom,Belgium,France
Europe,,Spain,Italy,Switzerland,Poland,Ireland,Estonia,Portugal,Finland
North America,,United States,Canada,Mexico,Cuba,Dominica,Haiti,Jamaica,Grenada
North America,,Panama,Nicaragua,Bahamas,Costa Rica,Trinidad and Tobago,Saint Lucia,Barbados,Guatemala
South America,,Argentina,Brazil,Chile,Colombia,Peru,Uruguay,Suriname,Ecuador
